"NAME","ROLE"
"Stansby, William 1590","Printer, Bookseller, Printer (music)"
"Aylett, Robert, 1583-1655?","Author"
"Trevisa, John, d. 1402.","Author"
"Higden, Ranulf, d. 1364.","Author"
"Law, Matthew 1595","Bookseller"
"Alsop, Bernard 1601","Stationer"
"Blower, Ralph 1587","Bookseller, Printer"
"Jones, William, of Usk.","Author"
"Barley, William 1598","Publisher, Stationer"
"Purslowe, George 1602","Printer, Bookseller"
"Teage, John 1619","Bookseller"
"Bill, John 1631","Printer"
"Barker, Robert 1629","Stationer"
"Henry VIII, King of England, 1491-1547.","Author"
"Berthelet, Thomas 1520","Printer, Bookseller, Bookbinder"
"Elizabeth I, Queen of England, 1533-1603.","Author"
"Jugge, Richard 1558","Stationer"
"Cawood, John 1561","Publisher"
"Aytoun, Robert, Sir, 1570-1638.","Author"
"Alldee, Edward 1588","Printer, Stationer"
"Wolfe, Reyner (Reginald) 1530","Printer, Bookseller"
"Parker, Matthew, 1504-1575.","Author"
"Seres, William 2 1578","Stationer"
"Grindal, Edmund, 1519?","Author"
"Walkley, Thomas 1618","Bookseller, Printer, Publisher (dramatic/theatrical)"
"Montagu, Richard, 1577-1641.","Author"
"Young, Robert 1612","Printer, Bookseller, Stationer, Bookbinder, Publisher"
"Bourne, Thomas 1623","Bookseller"
"Colwell, Thomas 1560","Printer"
"Boorde, Andrew, 1490?","Author"
"Milbourne, Robert 1617","Bookseller"
"Abbot, George, 1562-1633.","Author"
"Newbery, Ralph 1560","Bookseller"
"Cooper, Thomas, 1517?","Author"
"Sandys, Edwin, 1516?","Author"
"Seres, William 1 1546","Printer, Bookseller, Printer (music)"
"Denham, Henry 1560","Printer"
"Laud, William, 1573-1645.","Author"
"Badger, Richard 1631","Bookseller, Printer"
"Heylyn, Peter, 1600-1662.","Author"
"Juxon, William, 1582-1663.","Author"
"Cranmer, Thomas, 1489-1556.","Author"
"Bancroft, Richard, 1544-1610.","Author"
"Wren, Matthew, 1585-1667.","Author"
"Kid, John 1584","Bookseller, Printer (journeyman) ?"
"G. B.","Author"
"Wright, John I 1602","Bookseller, Bookseller (ballad)"
"G. B., fl. 1592-1597.","Author"
"H. B., fl. 1588.","Author"
"Charlewood, John 1553","Bookseller, Printer"
"Jewel, John, 1522-1571.","Author"
"Fotherby, Martin, Bishop of Salisbury, 1559-1619.","Author"
"Beale, John 1611","Printer"
"H. B., fl. 1566.","Author"
"Allde, John 1552","Printer"
"Day, John 1522","Printer, Printer (music)"
"I. B., fl. 1547.","Author"
"Bradford, John, 1510?","Author"
