282  Madison street	address	2	east end of Madison street bridge on the south side of the street
282  Madison street	address	2	Wabash avenue
east end of Madison street bridge on the south side of the street	address	2	282  Madison street
east end of Madison street bridge on the south side of the street	address	2	Wabash avenue
Prairie avenue	locRef	2	Monroe street
Prairie avenue	locRef	2	Blue Island avenue
Monroe street	locRef	2	Prairie avenue
Monroe street	locRef	2	Blue Island avenue
Wabash avenue	address	2	282  Madison street
Wabash avenue	address	2	east end of Madison street bridge on the south side of the street
Blue Island avenue	locRef	2	Prairie avenue
Blue Island avenue	locRef	2	Monroe street
Ogden avenue	locRef	3	Market street
Ogden avenue	locRef	3	Rumsey street is two blocks west of Ashland avenue
Ogden avenue	locRef	3	Division street
Market street	locRef	9	Ogden avenue
Market street	locRef	9	Rumsey street is two blocks west of Ashland avenue
Market street	locRef	9	Division street
Market street	locRef	9	State street
Market street	locRef	9	Gross Park
Market street	locRef	9	West side
Market street	locRef	9	corner of Washington and Union streets
Market street	locRef	9	Garfield park
Market street	locRef	9	Carpenter street
155 Market street	address	2	178 Market street
155 Market street	address	2	258 Rumsey st
178 Market street	address	2	155 Market street
178 Market street	address	2	258 Rumsey st
258 Rumsey st	address	2	155 Market street
258 Rumsey st	address	2	178 Market street
Rumsey street is two blocks west of Ashland avenue	locRef	3	Ogden avenue
Rumsey street is two blocks west of Ashland avenue	locRef	3	Market street
Rumsey street is two blocks west of Ashland avenue	locRef	3	Division street
Division street	locRef	3	Ogden avenue
Division street	locRef	3	Market street
Division street	locRef	3	Rumsey street is two blocks west of Ashland avenue
Philadelphia	something_else	0	other
Chicago	something_else	0	other
34 to 38 East Randolphon R— street	address	6	the southwest corner of WessonW. and HobbieH. streets on the North side
34 to 38 East Randolphon R— street	address	6	SedgwickS. street near Division
34 to 38 East Randolphon R— street	address	6	269 and 271 South Paulina street
34 to 38 East Randolphon R— street	address	6	193 and 195 West Monroe street
34 to 38 East Randolphon R— street	address	6	520 West Madison street
34 to 38 East Randolphon R— street	address	6	West Madison street
the southwest corner of WessonW. and HobbieH. streets on the North side	address	6	34 to 38 East Randolphon R— street
the southwest corner of WessonW. and HobbieH. streets on the North side	address	6	SedgwickS. street near Division
the southwest corner of WessonW. and HobbieH. streets on the North side	address	6	269 and 271 South Paulina street
the southwest corner of WessonW. and HobbieH. streets on the North side	address	6	193 and 195 West Monroe street
the southwest corner of WessonW. and HobbieH. streets on the North side	address	6	520 West Madison street
the southwest corner of WessonW. and HobbieH. streets on the North side	address	6	West Madison street
SedgwickS. street near Division	address	6	34 to 38 East Randolphon R— street
SedgwickS. street near Division	address	6	the southwest corner of WessonW. and HobbieH. streets on the North side
SedgwickS. street near Division	address	6	269 and 271 South Paulina street
SedgwickS. street near Division	address	6	193 and 195 West Monroe street
SedgwickS. street near Division	address	6	520 West Madison street
SedgwickS. street near Division	address	6	West Madison street
269 and 271 South Paulina street	address	6	34 to 38 East Randolphon R— street
269 and 271 South Paulina street	address	6	the southwest corner of WessonW. and HobbieH. streets on the North side
269 and 271 South Paulina street	address	6	SedgwickS. street near Division
269 and 271 South Paulina street	address	6	193 and 195 West Monroe street
269 and 271 South Paulina street	address	6	520 West Madison street
269 and 271 South Paulina street	address	6	West Madison street
193 and 195 West Monroe street	address	6	34 to 38 East Randolphon R— street
193 and 195 West Monroe street	address	6	the southwest corner of WessonW. and HobbieH. streets on the North side
193 and 195 West Monroe street	address	6	SedgwickS. street near Division
193 and 195 West Monroe street	address	6	269 and 271 South Paulina street
193 and 195 West Monroe street	address	6	520 West Madison street
193 and 195 West Monroe street	address	6	West Madison street
520 West Madison street	address	6	34 to 38 East Randolphon R— street
520 West Madison street	address	6	the southwest corner of WessonW. and HobbieH. streets on the North side
520 West Madison street	address	6	SedgwickS. street near Division
520 West Madison street	address	6	269 and 271 South Paulina street
520 West Madison street	address	6	193 and 195 West Monroe street
520 West Madison street	address	6	West Madison street
West Madison street	address	6	34 to 38 East Randolphon R— street
West Madison street	address	6	the southwest corner of WessonW. and HobbieH. streets on the North side
West Madison street	address	6	SedgwickS. street near Division
West Madison street	address	6	269 and 271 South Paulina street
West Madison street	address	6	193 and 195 West Monroe street
West Madison street	address	6	520 West Madison street
Eighteenth street	locRef	6	the three
                            points where State and Nineteenth streets intersect
Eighteenth street	locRef	6	Newport
Eighteenth street	locRef	6	State
                            street
Eighteenth street	locRef	6	Cottage Grove avenue
Eighteenth street	locRef	6	Lake street
Eighteenth street	locRef	6	Jackson street
2155 Archer
                            avenue	address	4	2155
                            Archer avenue
2155 Archer
                            avenue	address	4	on Randolph near Dearborn street
2155 Archer
                            avenue	address	4	20th Clark street
2155 Archer
                            avenue	address	4	199 and 201 Fifth avenue
the three
                            points where State and Nineteenth streets intersect	locRef	6	Eighteenth street
the three
                            points where State and Nineteenth streets intersect	locRef	6	Newport
the three
                            points where State and Nineteenth streets intersect	locRef	6	State
                            street
the three
                            points where State and Nineteenth streets intersect	locRef	6	Cottage Grove avenue
the three
                            points where State and Nineteenth streets intersect	locRef	6	Lake street
the three
                            points where State and Nineteenth streets intersect	locRef	6	Jackson street
Newport	locRef	6	Eighteenth street
Newport	locRef	6	the three
                            points where State and Nineteenth streets intersect
Newport	locRef	6	State
                            street
Newport	locRef	6	Cottage Grove avenue
Newport	locRef	6	Lake street
Newport	locRef	6	Jackson street
State
                            street	locRef	6	Eighteenth street
State
                            street	locRef	6	the three
                            points where State and Nineteenth streets intersect
State
                            street	locRef	6	Newport
State
                            street	locRef	6	Cottage Grove avenue
State
                            street	locRef	6	Lake street
State
                            street	locRef	6	Jackson street
2155
                            Archer avenue	address	4	2155 Archer
                            avenue
2155
                            Archer avenue	address	4	on Randolph near Dearborn street
2155
                            Archer avenue	address	4	20th Clark street
2155
                            Archer avenue	address	4	199 and 201 Fifth avenue
Cottage Grove avenue	locRef	6	Eighteenth street
Cottage Grove avenue	locRef	6	the three
                            points where State and Nineteenth streets intersect
Cottage Grove avenue	locRef	6	Newport
Cottage Grove avenue	locRef	6	State
                            street
Cottage Grove avenue	locRef	6	Lake street
Cottage Grove avenue	locRef	6	Jackson street
Lake street	locRef	6	Eighteenth street
Lake street	locRef	6	the three
                            points where State and Nineteenth streets intersect
Lake street	locRef	6	Newport
Lake street	locRef	6	State
                            street
Lake street	locRef	6	Cottage Grove avenue
Lake street	locRef	6	Jackson street
on Randolph near Dearborn street	address	4	2155 Archer
                            avenue
on Randolph near Dearborn street	address	4	2155
                            Archer avenue
on Randolph near Dearborn street	address	4	20th Clark street
on Randolph near Dearborn street	address	4	199 and 201 Fifth avenue
20th Clark street	address	4	2155 Archer
                            avenue
20th Clark street	address	4	2155
                            Archer avenue
20th Clark street	address	4	on Randolph near Dearborn street
20th Clark street	address	4	199 and 201 Fifth avenue
199 and 201 Fifth avenue	address	4	2155 Archer
                            avenue
199 and 201 Fifth avenue	address	4	2155
                            Archer avenue
199 and 201 Fifth avenue	address	4	on Randolph near Dearborn street
199 and 201 Fifth avenue	address	4	20th Clark street
Jackson street	locRef	6	Eighteenth street
Jackson street	locRef	6	the three
                            points where State and Nineteenth streets intersect
Jackson street	locRef	6	Newport
Jackson street	locRef	6	State
                            street
Jackson street	locRef	6	Cottage Grove avenue
Jackson street	locRef	6	Lake street
Little Hell	locRef	2	26 Eugenie street
Little Hell	locRef	2	Larrabee street
Elm and Wesson streets	address	8	Hobbie and Chatham streets
Elm and Wesson streets	address	8	113 Chicago avenue
Elm and Wesson streets	address	8	Cleveland avenue
Elm and Wesson streets	address	8	No. 314
Elm and Wesson streets	address	8	335 Cleveland avenue
Elm and Wesson streets	address	8	323 Cleaveland avenue
Elm and Wesson streets	address	8	138 Mohawk street
Elm and Wesson streets	address	8	Sedgwick street near Superior
Hobbie and Chatham streets	address	8	Elm and Wesson streets
Hobbie and Chatham streets	address	8	113 Chicago avenue
Hobbie and Chatham streets	address	8	Cleveland avenue
Hobbie and Chatham streets	address	8	No. 314
Hobbie and Chatham streets	address	8	335 Cleveland avenue
Hobbie and Chatham streets	address	8	323 Cleaveland avenue
Hobbie and Chatham streets	address	8	138 Mohawk street
