2008	spray_paint	1	Abraham Lincoln
2006	canvas	2	Applause
2011	spray_paint	1	Baby Carriage
2001	book	1	Banging Your Head Against A Brick Wall
2009	installation	1	Banksy VS Bristol
2004	canvas	2	Barcode
2006	installation	1	Barely Legal
2004	spray_paint	3	Because I'm Worthless
2004	canvas	3	Because I'm Worthless
2013	installation	1	Better Out Than In
2018	spray_paint	1	Blinded Napoleon
2003	canvas	2	Bomb Hugger
2003	spray_paint	2	Bomb Hugger
2003	canvas	2	Bomb Middle England
2018	spray_paint	1	Box Cutter Rat
2013	spray_paint	1	Bronx Zoo
2008	spray_paint	1	Bubble Slide Girl
2016	spray_paint	1	Burning Tyre
2005	canvas	2	CND Soldiers
2010	spray_paint	1	Cameraman and Flower
2007	spray_paint	1	Cash Machine Girl
2008	spray_paint	1	Cave Painting Removal
2011	spray_paint	1	Child Soldier
2018	spray_paint	1	Chisel the Flag
2002	spray_paint	1	Choose Your Weapon
2002	spray_paint	1	Choose Your Weapon
2004	canvas	2	Christ with Shopping Bags
2017	canvas	1	Civilian Drone STrike
2012	canvas	1	Copyright 
2005	installation	1	Crude Oils
2015	spray_paint	2	Crying Woman
2004	book	1	Cut It Out
2004	spray_paint	1	Cut It Out
2011	book	1	Cut It Out
2011	spray_paint	1	Cut It Out
2004	canvas	2	Di Faced Tenners
2015	installation	1	Dismaland
2009	spray_paint	1	Don't Forget your Scarf
2009	canvas	3	Donuts
2005	spray_paint	1	Dove of Peace
2018	spray_paint	1	Draw The Raised Bridge
2014	spray_paint	1	Drunk Angel
2014	canvas	2	Dumbo
2002	book	1	Existencilism
2002	installation	1	Existencilism (Exhibit)
2013	spray_paint	1	Fake Plato Qoute
2007	spray_paint	1	Fallen Angel
2006	canvas	2	Festival
2006	canvas	3	Flags
2005	spray_paint	1	Flying Balloon Girl
2003	canvas	3	Flying Copper
2011	spray_paint	1	Follow your Dreams - Canceled
2010	spray_paint	1	Forgive our Trespassing
2012	spray_paint	1	Fridge Kite
2006	spray_paint	1	Gangsta Rat
2008	spray_paint	1	Gas Mask Wearing Musicians
2015	spray_paint	1	Gaza Kitty
2013	spray_paint	1	Ghetto for Life
2004	canvas	2	Girl With Balloon
2008	spray_paint	1	Girl and Mouse
2002	spray_paint	1	Girl with Balloon
2007	spray_paint	1	Girl with Skipping Rope
2018	spray_paint	1	Go Flock Yourself
2003	canvas	2	Golf Sale
2008	spray_paint	1	Gorilla Artist
2010	spray_paint	1	Gorilla With Pink Mask
2013	spray_paint	1	Graffiti Is A Crime
2006	canvas	3	Grannies
2005	canvas	2	Grim Reaper
2007	spray_paint	1	Gun Clown
2003	canvas	2	HMV
2013	spray_paint	1	Hammer Boy
2003	canvas	2	Happy Choppers
2005	spray_paint	1	Hitchhikers Anywhere
2004	canvas	4	I Fought The Law
2008	spray_paint	1	I Love You
2003	spray_paint	1	Ice Cream Bomb
2008	spray_paint	1	Injured Buddha
2010	spray_paint	1	Interest in People
2017	canvas	1	Israeli-Palestinian Pillow Fight
2012	spray_paint	1	Javelin Thrower
2005	canvas	7	Kate Moss
2004	spray_paint	1	Keep your Coins, I want Change
2009	spray_paint	1	Kentucky Fox
2002	spray_paint	1	Laugh Now
2002	spray_paint	1	Laugh Now
1997	spray_paint	1	Lenin Punk
2012	spray_paint	1	London Calling
2007	spray_paint	1	Looting Soldiers
2003	canvas	2	Love Is In The Air
2001	canvas	1	Love Is In The Air (CCCP)
2004	canvas	2	Love Rat
2014	spray_paint	1	Love is the Answer
2011	installation	1	MOCA
2010	installation	1	Marks And Stencils
2014	spray_paint	1	Mobile Phone Lovers
2010	spray_paint	1	Modern Art
2003	canvas	2	Monkey Queen
2008	canvas	6	NOLA
2004	canvas	5	Napalm
2004	spray_paint	1	Napalm Girl
2009	canvas	3	No Ball Games
2008	spray_paint	1	No Ball Games Rat
2010	spray_paint	1	No Future
2010	spray_paint	1	No Trespassing
2006	spray_paint	1	Old Skool
2006	spray_paint	1	Old Woman
2008	spray_paint	1	One Nation Under CCTV
2002	installation	1	Peace Is Though
2010	spray_paint	1	Police Sniper
2007	spray_paint	1	Policeman Searching
2004	canvas	3	Pulp Fiction
2003	canvas	2	Queen Victoria
2018	spray_paint	1	Rat Couple
2001	installation	1	Rivington Street
2002	installation	1	Santa's Ghetto 02
2003	installation	1	Santa's Ghetto 03
2004	installation	1	Santa's Ghetto 04
2005	installation	1	Santa's Ghetto 05
2006	installation	1	Santa's Ghetto 06
2007	installation	1	Santa's Ghetto 07
2018	spray_paint	1	Seal Mural
2018	spray_paint	1	Season's Greetings
2005	spray_paint	1	Secured
2010	spray_paint	1	Security Guard with Pink Balloon
2003	installation	1	Semipermanent
2000	installation	1	Severnshed
2012	spray_paint	1	Slave Labour
2005	spray_paint	1	Snorting Copper
2005	spray_paint	1	Soldiers Painting CND Sign
2011	spray_paint	1	Sorry, The Lifestyle you Ordered
2007	spray_paint	1	Space Girl with Bird
2011	spray_paint	1	Stained Window 
2007	spray_paint	1	Stop and Search
2009	spray_paint	1	Stormtroopers Filming Oscars
2006	spray_paint	1	Sweep it Under the Carpet
2010	spray_paint	1	Swing Girl
2011	spray_paint	1	Take this Society
2011	spray_paint	1	Tap Phoned
2010	spray_paint	1	Tesco Sandcastle
2008	installation	1	The Cans Festival
1999	spray_paint	1	The Mild Mild West
2005	installation	1	The Segregation Wall
2015	spray_paint	1	The Son Of A Migrant From Syria
