William Blake	Dalkey, Dublin Bay	8
Pyrrhus	Dalkey, Dublin Bay	8
Aristotle	Dalkey, Dublin Bay	7 Eccles Street	8
Bible	Dalkey, Dublin Bay	Sandymount Strand	18
John Milton	Dalkey, Dublin Bay	8
James Joyce	Dalkey, Dublin Bay	8
Gloria Patri	Dalkey, Dublin Bay	8
William Shakespeare	Dalkey, Dublin Bay	8
George William Russell	Dalkey, Dublin Bay	8
Greek mythology	Dalkey, Dublin Bay	8
Jules Laforgue	Dalkey, Dublin Bay	8
Homer	Dalkey, Dublin Bay	8
Christianity	Sandymount Strand	10
Queen Victoria	Sandymount Strand	10
Vikings	Sandymount Strand	10
Queen Cassiopeia	Sandymount Strand	10
Greek Mythology	Sandymount Strand	10
Aurelius Ambrosius	Sandymount Strand	10
Greek Mythology?	Sandymount Strand	10
Leslie Stuart	7 Eccles Street	0
Charles Francois Gounod	7 Eccles Street	0
G.J. Whyte-Melville	7 Eccles Street	0
The Lily of Killarney	7 Eccles Street	0
Kathleen ni Houlihan	7 Eccles Street	0
John Henry Cardinal Newman	7 Eccles Street	0
magazine	7 Eccles Street	0
Charles K. Harris	7 Eccles Street	0
Wilkie Collins	7 Eccles Street	0
Ellen Wood	7 Eccles Street	0
Mary Elizabeth Braddon	7 Eccles Street	0
Margaret Wolfe Hungerford	7 Eccles Street	0
Daniel Defoe	7 Eccles Street	0
H.S. Clarke and E.B. Farmer	7 Eccles Street	0
Wilford Morgan	7 Eccles Street	0
Will S. Hays	7 Eccles Street	0
F.E. Weatherly and Hope Temple	7 Eccles Street	0
Freeman Crofts Wills	7 Eccles Street	0
Herbert Beerbohm Tree	7 Eccles Street	0
GA Greene	7 Eccles Street	0
Robert Southey	7 Eccles Street	0
Hughie Cannon	7 Eccles Street	0
James Thornton	7 Eccles Street	0
Claxon Bellamy and JL Hatton	7 Eccles Street	0
Maritana	7 Eccles Street	0
HW Challis and William V Wallace	7 Eccles Street	0
The Odyssey	7 Eccles Street	0
Don Giovanni	7 Eccles Street	0
Wife of Scarli	7 Eccles Street	0
James Montgomery	7 Eccles Street	0
Iona Opie	7 Eccles Street	0
Kelleher	164 North Strand Road	0
Percy Shelley	6 Westland Row	0
Archimedes	6 Westland Row	0
Freeman's Journal	6 Westland Row	0
Shakespeare	49 Westland Row	Pearse Street	46 Westland Row	4
Robert M. Adams	31 Westland Row	3
proverb	31 Westland Row	3
Thomas Moore	31 Westland Row	3
Mozart	31 Westland Row	46 Westland Row	4
John Augustin Daly	Pearse Street	0
Salomon Hermann Mosenhal	Pearse Street	0
Leah the Forsaken	Pearse Street	0
Bret Harte	46 Westland Row	1
Pontius Pilate	46 Westland Row	1
Fanny Crosby	46 Westland Row	1
Gilbert and Sullivan	46 Westland Row	1
Stabat Mater	46 Westland Row	1
Giusseppe Saverio Raffaele	46 Westland Row	1
Giovanni Pierluigi da Palestrina	46 Westland Row	1
Rosenbach MS	46 Westland Row	1
Dr. Chase's Recipes or, Information for Everybody	1 Lincoln Place	4
Johnny, I hardly knew ye	11 Leinster Street	0
When McCarthy took the flute at Inniscorthy	11 Leinster Street	0
Edward Fitzball	11 Leinster Street	0
