Grass	Bulbasaur	001	Pallet Town	city/town	Charmander	004	Fire
Grass	Bulbasaur	001	Pallet Town	city/town	Squirtle	007	Water
Grass	Bulbasaur	001	Pallet Town	city/town	Pikachu	025	Electric
Grass	Bulbasaur	001	Pallet Town	city/town	Eevee	133	Normal
Grass	Oddish	043	Route 15	route	Pidgey	016	Normal
Grass	Oddish	043	Route 15	route	Pidgey	016	Flying
Grass	Oddish	043	Route 15	route	Pidgeotto	017	Normal
Grass	Oddish	043	Route 15	route	Pidgeotto	017	Flying
Grass	Oddish	043	Route 15	route	Gloom	044	Grass
Grass	Oddish	043	Route 15	route	Gloom	044	Poison
Grass	Oddish	043	Route 15	route	Venonat	048	Bug
Grass	Oddish	043	Route 15	route	Venonat	048	Poison
Grass	Oddish	043	Route 15	route	Bellsprout	069	Grass
Grass	Oddish	043	Route 15	route	Bellsprout	069	Poison
Grass	Oddish	043	Route 15	route	Weepinbell	070	Grass
Grass	Oddish	043	Route 15	route	Weepinbell	070	Poison
Grass	Oddish	043	Route 15	route	Ditto	132	Normal
Grass	Oddish	043	Route 14	route	Pidgey	016	Normal
Grass	Oddish	043	Route 14	route	Pidgey	016	Flying
Grass	Oddish	043	Route 14	route	Pidgeotto	017	Normal
Grass	Oddish	043	Route 14	route	Pidgeotto	017	Flying
Grass	Oddish	043	Route 14	route	Gloom	044	Grass
Grass	Oddish	043	Route 14	route	Gloom	044	Poison
Grass	Oddish	043	Route 14	route	Venonat	048	Bug
Grass	Oddish	043	Route 14	route	Venonat	048	Poison
Grass	Oddish	043	Route 14	route	Bellsprout	069	Grass
Grass	Oddish	043	Route 14	route	Bellsprout	069	Poison
Grass	Oddish	043	Route 14	route	Weepinbell	070	Grass
Grass	Oddish	043	Route 14	route	Weepinbell	070	Poison
Grass	Oddish	043	Route 14	route	Ditto	132	Normal
Grass	Oddish	043	Route 14	route	Magikarp	129	Water
Grass	Oddish	043	Route 14	route	Poliwag	060	Water
Grass	Oddish	043	Route 14	route	Goldeen	118	Water
Grass	Oddish	043	Route 13	route	Pidgey	016	Normal
Grass	Oddish	043	Route 13	route	Pidgey	016	Flying
Grass	Oddish	043	Route 13	route	Gloom	044	Grass
Grass	Oddish	043	Route 13	route	Gloom	044	Poison
Grass	Oddish	043	Route 13	route	Venonat	048	Bug
Grass	Oddish	043	Route 13	route	Venonat	048	Poison
Grass	Oddish	043	Route 13	route	Bellsprout	069	Grass
Grass	Oddish	043	Route 13	route	Bellsprout	069	Poison
