7 eccles street	leopoldbloom		1
ringsend road	leopoldbloom		1
stamer street	leopoldbloom		1
hume street	leopoldbloom		1
nelson's pillar	leopoldbloom		1
rutland square	leopoldbloom		1
blessington street	leopoldbloom		1
berkely street	leopoldbloom		1
eccles street	leopoldbloom		1
phibsborough road	leopoldbloom		1
finglas road	leopoldbloom		1
windmill lane	leopoldbloom		1
18 rogerson's quay	leopoldbloom		1
19 rogerson's quay	leopoldbloom		1
lime street	leopoldbloom		1
townsend street	leopoldbloom		1
26 lombard street e.	leopoldbloom		1
164 north strand road	leopoldbloom		1
6 westland row	leopoldbloom		1
49 westland row	leopoldbloom		1
31 westland row	leopoldbloom		1
pearse street	leopoldbloom		1
cumberland street	leopoldbloom		1
153 pearse street	leopoldbloom		1
the coombe	leopoldbloom		1
46 westland row	leopoldbloom		1
1 lincoln place	leopoldbloom		1
11 leinster street	leopoldbloom		1
upper gardiner street	leopoldbloom		1
mountjoy square	leopoldbloom		1
fitzgibbon street	leopoldbloom		1
great charles street	leopoldbloom		1
north circular road	leopoldbloom		1
4 n. strand road	leopoldbloom		1
16 n. strand road	leopoldbloom		1
17 n. strand road	leopoldbloom		1
164 n. strand road	leopoldbloom		1
21 n. strand road	leopoldbloom		1
newcomen bridge	leopoldbloom		1
annesley bridge	leopoldbloom		1
howth road	leopoldbloom		1
malahide road	leopoldbloom		1
11 2 dorset street lower	leopoldbloom		1
clongowes fields	leopoldbloom		1
61 grafton street	leopoldbloom		1
college green	leopoldbloom		1
52 grafton street	leopoldbloom		1
8 ormond quay upper	leopoldbloom		1
crampton court	leopoldbloom		1
sycamore street	leopoldbloom		1
jervis street	leopoldbloom		1
30 essex street east	leopoldbloom		1
29 essex street east	leopoldbloom		1
merchant's arch	leopoldbloom		1
metal bridge	leopoldbloom		1
wellington quay	leopoldbloom		1
42 camden street lower	leopoldbloom		1
25 bachelor's walk	leopoldbloom		1
james's street	leopoldbloom		1
5 dame street	leopoldbloom		1
35 dame street	leopoldbloom		1
28 james's street	leopoldbloom		1
48 james's street	leopoldbloom		1
2 sackville st. lower	leopoldbloom		1
12 sackville st. lower	leopoldbloom		1
carlisle bridge	leopoldbloom		1
21 watling street	leopoldbloom		1
27 bachelor's walk	leopoldbloom		1
31 dame street	leopoldbloom		1
island street	leopoldbloom		1
watling street	leopoldbloom		1
49 fleet street	leopoldbloom		1
1 bedford row	leopoldbloom		1
10 bedford row	leopoldbloom		1
19 ormond quay lower	leopoldbloom		1
31 mary's abbey	leopoldbloom		1
christchurch place	leopoldbloom		1
dame street	leopoldbloom		1
lord edward street	leopoldbloom		1
cork hill	leopoldbloom		1
37 parliament street	leopoldbloom		1
27 parliament street	leopoldbloom		1
30 parliament street	leopoldbloom		1
33 dame street	leopoldbloom		1
14 nelson street	leopoldbloom		1
60 mount street lower	leopoldbloom		1
14 clare street	leopoldbloom		1
31 merrion square north	leopoldbloom		1
1 merrion square north	leopoldbloom		1
23 wicklow street	leopoldbloom		1
8 bridge street	leopoldbloom		1
33 wicklow street	leopoldbloom		1
sean heuston bridge	leopoldbloom		1
ror o'more bridge	leopoldbloom		1
father mathew bridge	leopoldbloom		1
29 kildare street	leopoldbloom		1
32 arran quay	leopoldbloom		1
d'donovan rossa bridge	leopoldbloom		1
34 ormond quay upper	leopoldbloom		1
36 ormond quay upper	leopoldbloom		1
15 wood quay	leopoldbloom		1
30 ormond quay upper	leopoldbloom		1
grattan bridge	leopoldbloom		1
11 wellington quay	leopoldbloom		1
2 wellington quay	leopoldbloom		1
11 granby row upper	leopoldbloom		1
26 parliament street	leopoldbloom		1
82 dame street	leopoldbloom		1
72 dame street	leopoldbloom		1
college park	leopoldbloom		1
1 leinster street	leopoldbloom		1
merrion square	leopoldbloom		1
2 mount street lower	leopoldbloom		1
haddington road	leopoldbloom		1
northumberland road	leopoldbloom		1
7 eccles street	painting	p	1
ringsend road	painting	p	1
stamer street	painting	p	1
hume street	painting	p	1
nelson's pillar	painting	p	1
rutland square	painting	p	1
blessington street	painting	p	1
berkely street	painting	p	1
eccles street	painting	p	1
phibsborough road	painting	p	1
finglas road	painting	p	1
windmill lane	painting	p	1
18 rogerson's quay	painting	p	1
19 rogerson's quay	painting	p	1
lime street	painting	p	1
townsend street	painting	p	1
26 lombard street e.	painting	p	1
164 north strand road	painting	p	1
6 westland row	painting	p	1
49 westland row	painting	p	1
31 westland row	painting	p	1
pearse street	painting	p	1
cumberland street	painting	p	1
153 pearse street	painting	p	1
the coombe	painting	p	1
46 westland row	painting	p	1
1 lincoln place	painting	p	1
11 leinster street	painting	p	1
upper gardiner street	painting	p	1
mountjoy square	painting	p	1
fitzgibbon street	painting	p	1
great charles street	painting	p	1
north circular road	painting	p	1
4 n. strand road	painting	p	1
16 n. strand road	painting	p	1
17 n. strand road	painting	p	1
164 n. strand road	painting	p	1
21 n. strand road	painting	p	1
newcomen bridge	painting	p	1
annesley bridge	painting	p	1
howth road	painting	p	1
malahide road	painting	p	1
11 2 dorset street lower	painting	p	1
clongowes fields	painting	p	1
61 grafton street	painting	p	1
college green	painting	p	1
52 grafton street	painting	p	1
8 ormond quay upper	painting	p	1
crampton court	painting	p	1
sycamore street	painting	p	1
jervis street	painting	p	1
30 essex street east	painting	p	1
29 essex street east	painting	p	1
merchant's arch	painting	p	1
metal bridge	painting	p	1
wellington quay	painting	p	1
42 camden street lower	painting	p	1
25 bachelor's walk	painting	p	1
james's street	painting	p	1
5 dame street	painting	p	1
35 dame street	painting	p	1
28 james's street	painting	p	1
48 james's street	painting	p	1
2 sackville st. lower	painting	p	1
12 sackville st. lower	painting	p	1
carlisle bridge	painting	p	1
21 watling street	painting	p	1
27 bachelor's walk	painting	p	1
31 dame street	painting	p	1
island street	painting	p	1
watling street	painting	p	1
49 fleet street	painting	p	1
1 bedford row	painting	p	1
10 bedford row	painting	p	1
19 ormond quay lower	painting	p	1
31 mary's abbey	painting	p	1
christchurch place	painting	p	1
dame street	painting	p	1
lord edward street	painting	p	1
cork hill	painting	p	1
37 parliament street	painting	p	1
27 parliament street	painting	p	1
30 parliament street	painting	p	1
33 dame street	painting	p	1
14 nelson street	painting	p	1
60 mount street lower	painting	p	1
14 clare street	painting	p	1
31 merrion square north	painting	p	1
1 merrion square north	painting	p	1
23 wicklow street	painting	p	1
8 bridge street	painting	p	1
33 wicklow street	painting	p	1
sean heuston bridge	painting	p	1
ror o'more bridge	painting	p	1
father mathew bridge	painting	p	1
29 kildare street	painting	p	1
32 arran quay	painting	p	1
d'donovan rossa bridge	painting	p	1
34 ormond quay upper	painting	p	1
36 ormond quay upper	painting	p	1
15 wood quay	painting	p	1
30 ormond quay upper	painting	p	1
grattan bridge	painting	p	1
11 wellington quay	painting	p	1
