dalkey, dublin bay	1		scottishfamily
sandymount strand	1		scottishfamily
leeson park	1		scottishfamily
7 eccles street	1		scottishfamily
windmill lane	1		scottishfamily
18 rogerson's quay	1		scottishfamily
19 rogerson's quay	1		scottishfamily
lime street	1		scottishfamily
townsend street	1		scottishfamily
26 lombard street e.	1		scottishfamily
164 north strand road	1		scottishfamily
6 westland row	1		scottishfamily
49 westland row	1		scottishfamily
31 westland row	1		scottishfamily
pearse street	1		scottishfamily
cumberland street	1		scottishfamily
153 pearse street	1		scottishfamily
the coombe	1		scottishfamily
46 westland row	1		scottishfamily
1 lincoln place	1		scottishfamily
11 leinster street	1		scottishfamily
arbour hill	1		scottishfamily
ringsend road	1		scottishfamily
hume street	1		scottishfamily
nelson's pillar	1		scottishfamily
rutland grove	1		scottishfamily
blessington street	1		scottishfamily
berkely street	1		scottishfamily
eccles street	1		scottishfamily
phibsborough road	1		scottishfamily
finglas road	1		scottishfamily
mountjoy square	1		scottishfamily
fitzgibbon street	1		scottishfamily
north circular road	1		scottishfamily
n. strand road	1		scottishfamily
newcomen bridge	1		scottishfamily
annesley bridge	1		scottishfamily
howth road	1		scottishfamily
malahide road	1		scottishfamily
dorset street lower	1		scottishfamily
clongowes fields	1		scottishfamily
grafton street	1		scottishfamily
college green	1		scottishfamily
8 ormond quay upper	1		scottishfamily
crampton court	1		scottishfamily
sycamore street	1		scottishfamily
jervis street	1		scottishfamily
essex street east	1		scottishfamily
merchant's arch	1		scottishfamily
wellington quay	1		scottishfamily
42 camden street lower	1		scottishfamily
25 bachelor's walk	1		scottishfamily
dame street	1		scottishfamily
o'connell bridge	1		scottishfamily
watling street	1		scottishfamily
27 bachelor's walk	1		scottishfamily
31 dame street	1		scottishfamily
island street	1		scottishfamily
fleet street	1		scottishfamily
bedford row	1		scottishfamily
ormond quay lower	1		scottishfamily
mary's abbey	1		scottishfamily
christchurch place	1		scottishfamily
lord edward street	1		scottishfamily
cork hill	1		scottishfamily
parliament street	1		scottishfamily
33 dame street	1		scottishfamily
nelson street	1		scottishfamily
60 mount street lower	1		scottishfamily
clare street	1		scottishfamily
31 merrion square north	1		scottishfamily
1 merrion square north	1		scottishfamily
wicklow street	1		scottishfamily
bridge street	1		scottishfamily
sean heuston bridge	1		scottishfamily
rory o'more bridge	1		scottishfamily
father mathew bridge	1		scottishfamily
29 kildare street	1		scottishfamily
arran quay	1		scottishfamily
o'donovan rossa bridge	1		scottishfamily
ormond quay upper	1		scottishfamily
wood quay	1		scottishfamily
grattan bridge	1		scottishfamily
11 wellington quay	1		scottishfamily
2 wellington quay	1		scottishfamily
granby row	1		scottishfamily
merrion square	1		scottishfamily
mount street lower	1		scottishfamily
haddington road	1		scottishfamily
northumberland road	1		scottishfamily
loopline bridge	1		scottishfamily
sandycove	1		scottishfamily
dalkey, dublin bay	1		italianphilosopher
sandymount strand	1		italianphilosopher
leeson park	1		italianphilosopher
7 eccles street	1		italianphilosopher
windmill lane	1		italianphilosopher
18 rogerson's quay	1		italianphilosopher
19 rogerson's quay	1		italianphilosopher
lime street	1		italianphilosopher
townsend street	1		italianphilosopher
26 lombard street e.	1		italianphilosopher
164 north strand road	1		italianphilosopher
6 westland row	1		italianphilosopher
49 westland row	1		italianphilosopher
31 westland row	1		italianphilosopher
pearse street	1		italianphilosopher
cumberland street	1		italianphilosopher
153 pearse street	1		italianphilosopher
the coombe	1		italianphilosopher
46 westland row	1		italianphilosopher
1 lincoln place	1		italianphilosopher
11 leinster street	1		italianphilosopher
arbour hill	1		italianphilosopher
ringsend road	1		italianphilosopher
hume street	1		italianphilosopher
nelson's pillar	1		italianphilosopher
rutland grove	1		italianphilosopher
blessington street	1		italianphilosopher
berkely street	1		italianphilosopher
eccles street	1		italianphilosopher
phibsborough road	1		italianphilosopher
finglas road	1		italianphilosopher
mountjoy square	1		italianphilosopher
fitzgibbon street	1		italianphilosopher
north circular road	1		italianphilosopher
n. strand road	1		italianphilosopher
newcomen bridge	1		italianphilosopher
annesley bridge	1		italianphilosopher
howth road	1		italianphilosopher
malahide road	1		italianphilosopher
dorset street lower	1		italianphilosopher
clongowes fields	1		italianphilosopher
grafton street	1		italianphilosopher
college green	1		italianphilosopher
8 ormond quay upper	1		italianphilosopher
crampton court	1		italianphilosopher
sycamore street	1		italianphilosopher
jervis street	1		italianphilosopher
essex street east	1		italianphilosopher
merchant's arch	1		italianphilosopher
wellington quay	1		italianphilosopher
