Lenin Punk	spray_paint	Bristol	UK	1997	1
Easton Exhibition	installation	London	UK	1998	2
The Mild Mild West	spray_paint	Bristol	UK	1999	2
Severnshed	installation	Bristol	UK	2000	1
Rivington Street	installation	Bristol	UK	2001	2
Easton Cowboys	installation	Chiapas	MX	2001	2
Twin Towers	spray_paint	Brooklyn	USA	2001	2
Peace Is Though	installation	Bristol	UK	2002	3
Laugh Now	spray_paint	Los Angeles	USA	2002	3
Girl with Balloon	spray_paint	London	UK	2002	3
Existencilism (Exhibit)	installation	Los Angeles	USA	2002	3
Laugh Now	spray_paint	Los Angeles	USA	2002	3
Santa's Ghetto 02	installation	Shoreditch	UK	2002	3
Choose Your Weapon	spray_paint	London	UK	2002	3
Ice Cream Bomb	spray_paint	Brighton	UK	2003	4
May Day	installation	London	UK	2003	4
Santa's Ghetto 03	installation	London	UK	2003	4
Semipermanent	installation	Sydney	AU	2003	4
Tate Britain Prank	installation	London	UK	2003	4
Bomb Hugger	spray_paint	London	UK	2003	4
Thekla	spray_paint	Bristol	UK	2003	4
Turf War	installation	London	UK	2003	4
Keep your Coins, I want Change	spray_paint	Melbourne	AU	2004	2
Louvre Museum Prank	installation	Paris	FR	2004	2
Napalm Girl	spray_paint	London	UK	2004	2
Photo Opportunity	spray_paint	Somerset	UK	2004	2
Santa's Ghetto 04	installation	London	UK	2004	2
London Museum Prank	installation	London	UK	2004	2
Because I'm Worthless	spray_paint	London	UK	2004	2
Hitchhikers Anywhere	spray_paint	London	UK	2005	2
Santa's Ghetto 05	installation	London	UK	2005	2
Secured	spray_paint	Liverpool	UK	2005	2
Snorting Copper	spray_paint	London	UK	2005	2
Flying Balloon Girl	spray_paint	Palestine	IS	2005	2
Dove of Peace	spray_paint	Bethlehem	IS	2005	2
New York Museums Prank	installation	New York	USA	2005	2
Soldiers Painting CND Sign	spray_paint	London	UK	2005	2
The Segregation Wall	installation	Bethlehem	IS	2005	2
Crude Oils	installation	London	UK	2005	2
British Museum Prank	installation	London	UK	2005	2
Think Tank	spray_paint	London	UK	2005	2
Gangsta Rat	spray_paint	London	UK	2006	4
Guantanamo Bay Detainee	installation	Anaheim	USA	2006	4
Old Skool	spray_paint	London	UK	2006	4
Old Woman	spray_paint	Los Angeles	USA	2006	4
Sweep it Under the Carpet	spray_paint	London	UK	2006	4
Santa's Ghetto 06	installation	London	UK	2006	4
Barely Legal	installation	Los Angeles	USA	2006	4
Well, Hung Lover	spray_paint	Bristol	UK	2006	4
Santa's Ghetto 07	installation	Bethlehem	IS	2007	2
Space Girl with Bird	spray_paint	Chicago	USA	2007	2
Stop and Search	spray_paint	Bethlehem	IS	2007	2
Gun Clown	spray_paint	Bristol	UK	2007	2
Looting Soldiers	spray_paint	New Orleans	USA	2007	2
Girl with Skipping Rope	spray_paint	Brooklyn	USA	2007	2
GlastonBury	installation	Glastonbury	UK	2007	2
Fallen Angel	spray_paint	London	UK	2007	2
Policeman Searching	spray_paint	London	UK	2007	2
Cash Machine Girl	spray_paint	London	UK	2007	2
Yellow Lines Flower Painter	spray_paint	London	UK	2007	2
I Love You	spray_paint	Isle Of Wight	UK	2008	4
Injured Buddha	spray_paint	London	UK	2008	4
New Orleans	installation	New Orleans	USA	2008	4
No Ball Games Rat	spray_paint	London	UK	2008	4
The Cans Festival	installation	London	UK	2008	4
Gorilla Artist	spray_paint	London	UK	2008	4
Gas Mask Wearing Musicians	spray_paint	New Orleans	USA	2008	4
Girl and Mouse	spray_paint	New Orleans	USA	2008	4
One Nation Under CCTV	spray_paint	London	UK	2008	4
Cave Painting Removal	spray_paint	London	UK	2008	4
Bubble Slide Girl	spray_paint	London	UK	2008	4
Abraham Lincoln	spray_paint	New Orleans	USA	2008	4
Umbrella Girl	spray_paint	New Orleans	USA	2008	4
Very Little Helps	spray_paint	London	UK	2008	4
Village Pet Store And Charcoal Grill	installation	New York	USA	2008	4
Zebra Stripes	spray_paint	Timbuktu	ML	2008	4
Don't Forget your Scarf	spray_paint	Bristol	UK	2009	1
Stormtroopers Filming Oscars	spray_paint	Los Angeles	USA	2009	1
Kentucky Fox	spray_paint	London	UK	2009	1
Banksy VS Bristol	installation	Bristol	UK	2009	1
Thug for Life Bunny	spray_paint	London	UK	2009	1
Interest in People	spray_paint	Toronto	CA	2010	2
