Abraham Lincoln	spray_paint	1
All Seeing Ostrich 	spray_paint	1
Applause	canvas	2
Baby Carriage	spray_paint	1
Banging Your Head Against A Brick Wall	book	1
Banksy VS Bristol	installation	1
Barcode	canvas	2
Barely Legal	installation	1
Because I'm Worthless	spray_paint	3
Because I'm Worthless	canvas	3
Better Out Than In	installation	1
Blinded Napoleon	spray_paint	1
Bomb Hugger	spray_paint	2
Bomb Hugger	canvas	2
Bomb Middle England	canvas	2
Box Cutter Rat	spray_paint	1
British Museum Prank	installation	1
Bronx Zoo	spray_paint	1
Bubble Slide Girl	spray_paint	1
Burning Tyre	spray_paint	1
CND Soldiers	canvas	2
Cameraman and Flower	spray_paint	1
Cash Machine Girl	spray_paint	1
Cave Painting Removal	spray_paint	1
Child Soldier	spray_paint	1
Chisel the Flag	spray_paint	1
Choose Your Weapon	spray_paint	21
Choose Your Weapon	canvas	21
Christ with Shopping Bags	canvas	2
Civilian Drone Strike	canvas	1
Copyright 	canvas	1
Crude Oils	installation	1
Crying Woman	spray_paint	2
Cut It Out	book	1
Cut It Out	spray_paint	1
Di Faced Tenners	canvas	2
Dismaland	installation	1
Don't Forget your Scarf	spray_paint	1
Donuts	canvas	3
Dove of Peace	spray_paint	1
Draw The Raised Bridge	spray_paint	1
Drunk Angel	spray_paint	1
Dumbo	canvas	2
Easton Cowboys	installation	1
Easton Exhibition	installation	1
Existencilism	book	1
Existencilism (Exhibit)	installation	1
Exit Through The Gift Shop	installation	1
Fake Plato Qoute	spray_paint	1
Fallen Angel	spray_paint	1
Festival	canvas	2
Flags	canvas	3
Flying Balloon Girl	spray_paint	1
Flying Copper	canvas	3
Follow your Dreams - Canceled	spray_paint	1
Forgive Our Trespassing	spray_paint	1
Fridge Kite	spray_paint	1
Gangsta Rat	spray_paint	4
Gangsta Rat	canvas	4
Gas Mask Wearing Musicians	spray_paint	1
Gaza Kitty	spray_paint	1
Get Out While You Can	canvas	3
Ghetto for Life	spray_paint	1
Girl With Balloon	canvas	2
Girl and Mouse	spray_paint	1
Girl with Balloon	spray_paint	1
Girl with Skipping Rope	spray_paint	1
GlastonBury	installation	1
Go Flock Yourself	spray_paint	1
Golf Sale	canvas	2
Gorilla Artist	spray_paint	1
Gorilla With Pink Mask	spray_paint	1
Graffiti Is A Crime	spray_paint	1
Grannies	canvas	3
Grim Reaper	canvas	2
Guantanamo Bay Detainee	installation	1
Gun Clown	spray_paint	1
HMV	canvas	2
Hammer Boy	spray_paint	1
Happy Choppers	canvas	2
Hitchhikers Anywhere	spray_paint	1
I Fought The Law	canvas	4
I Love You	spray_paint	1
Ice Cream Bomb	spray_paint	1
Injured Buddha	spray_paint	1
Interest in People	spray_paint	1
Jack & Jill	canvas	3
Javelin Thrower	spray_paint	1
Kate Moss	canvas	7
Keep your Coins, I want Change	spray_paint	1
Kentucky Fox	spray_paint	1
Laugh Now	spray_paint	1
Laugh Now	spray_paint	1
Lenin Punk	spray_paint	1
London Calling	spray_paint	1
London Museum Prank	installation	1
Looting Soldiers	spray_paint	1
Louvre Museum Prank	installation	1
Love Is In The Air	canvas	2
Love Is In The Air (CCCP)	canvas	1
Love Rat	canvas	2
Love is the Answer	spray_paint	1
MOCA	installation	1
Marks And Stencils	installation	1
May Day	installation	1
Mobile Phone Lovers	spray_paint	1
Modern Art	spray_paint	1
Monkey Queen	canvas	2
Morons	canvas	5
NOLA	canvas	6
Napalm	canvas	5
Napalm Girl	spray_paint	1
New Orleans	installation	1
New York Museums Prank	installation	1
No Ball Games	canvas	3
No Ball Games Rat	spray_paint	1
No Future	spray_paint	1
No Trespassing	spray_paint	1
Old Skool	spray_paint	1
Old Woman	spray_paint	1
One Nation Under CCTV	spray_paint	1
One Original Thought	spray_paint	2
Peace Is Though	installation	1
Photo Opportunity	spray_paint	1
Police Sniper	spray_paint	1
Policeman Searching	spray_paint	1
Pulp Fiction	canvas	3
Queen Victoria	canvas	2
Rat Couple	spray_paint	1
Rivington Street	installation	1
Santa's Ghetto 02	installation	1
Santa's Ghetto 03	installation	1
Santa's Ghetto 04	installation	1
Santa's Ghetto 05	installation	1
Santa's Ghetto 06	installation	1
Santa's Ghetto 07	installation	1
Seal Mural	spray_paint	1
Season's Greetings	spray_paint	1
Secured	spray_paint	1
Security Guard with Pink Balloon	spray_paint	1
Semipermanent	installation	1
Severnshed	installation	1
Slave Labour	spray_paint	1
Snorting Copper	spray_paint	1
Soldiers Painting CND Sign	spray_paint	1
Sorry, The Lifestyle you Ordered	spray_paint	1
Space Girl with Bird	spray_paint	1
Stained Window 	spray_paint	1
Stop and Search	spray_paint	1
Stormtroopers Filming Oscars	spray_paint	1
Sweep it Under the Carpet	spray_paint	1
Swing Girl	spray_paint	1
Take this Society	spray_paint	1
Tap Phoned	spray_paint	1
Tate Britain Prank	installation	1
Tesco Sandcastle	spray_paint	1
The Cans Festival	installation	1
The Mild Mild West	spray_paint	1
The Segregation Wall	installation	1
The Simpsons	installation	1
The Son Of A Migrant From Syria	spray_paint	1
The Walled Off Hotel	installation	1
Thekla	spray_paint	1
Think Tank	spray_paint	1
Thug for Life Bunny	spray_paint	1
Tox	spray_paint	1
Toxic Rat	spray_paint	1
Trolleys	canvas	4
Turf War	installation	2
Turf War	canvas	2
Twin Towers	spray_paint	1
Umbrella Girl	spray_paint	1
Very Little Helps	spray_paint	1
Village Pet Store And Charcoal Grill	installation	1
