Windmill Lane,53.3458100,-6.2456600
18 Rogerson's Quay,53.346584,-6.243767
19 Rogerson's Quay,53.346493,-6.243887
Lime Street,53.345819,-6.243710
Townsend Street,53.345945,-6.251799
26 Lombard Street E.,53.344988,-6.249185
164 North Strand Road,53.355344,-6.246255
6 Westland Row,53.343145,-6.249902
49 Westland Row,53.34312,-6.25097
31 Westland Row,53.34322,-6.25082
Pearse Street,53.34351,-6.24995
Cumberland Street,53.29287,-6.14697
153 Pearse Street,53.34511,-6.25791
The Coombe,53.33914,-6.28034
46 Westland Row,53.34248,-6.25105
1 Lincoln Place,53.34141,-6.25188
11 Leinster Street,53.34117,-6.25405
